x1,y1
31,15.172
30.518,16
30.002,17
30,17.003
29.188,18
29,18.236
28.285,19
28,19.304
27.235,20
27,20.206
26,20.935
25.893,21
25,21.506
24,21.976
23.932,22
23,22.31
22,22.553
21,22.691
20,22.677
19,22.435
18.091,22
18,21.931
17.098,21
17,20.78
16.733,20
17,19
18,19
19,19
19,18
19,17
19,16
19,15
19,14
19,13
18,13
17,13
16,13
15,13
14,13
13,13
12.333,12
12.386,11
12.631,10
13,9.0179
13.008,9
13.595,8
14,7.4091
14.317,7
15,6.2129
15.211,6
16,5.2714
16.329,5
17,4.5205
17.792,4
18,3.8874
19,3.4203
19.947,3
20,2.9863
21,2.7766
22,2.5954
23,2.4604
24,2.399
25,2.4328
26,2.5389
27,2.6537
28,2.7602
29,2.8731
29.955,3
30,3.0122
31,3.2675
