x1,y1
31,22.75
30.581,23
30,23.361
29,23.904
28.808,24
28,24.367
27,24.754
26.266,25
26,25.082
25,25.323
24,25.508
23,25.632
22,25.67
21,25.609
20,25.542
19,25.414
18,25.139
17.672,25
17,24.657
16,24.003
15.996,24
15,23.029
14.973,23
14.31,22
14,21.262
13.897,21
13.773,20
14,19.171
15,19
16,19
17,19
18,19
19,19
20,19
21,19
21,19
21.924,18
21.924,17
21.924,16
21.924,15
21.924,14
21,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,12.887
12.691,12
12.745,11
12.994,10
13,9.9849
13.437,9
14,8.033
14.022,8
14.889,7
15,6.8956
16,6.0505
16.068,6
17,5.4248
17.781,5
18,4.8968
19,4.5184
20,4.2062
20.843,4
21,3.9679
22,3.8297
23,3.7533
24,3.7365
25,3.7779
26,3.8771
26.789,4
27,4.0395
28,4.2904
29,4.5848
30,4.9346
30.145,5
31,5.3813
