x1,y1
3.7475,31
3.6064,30
3.4435,29
3.3306,28
3.2731,27
3.2685,26
3.3154,25
3.4114,24
3.5546,23
3.7591,22
4,21.175
4.0542,21
4.3846,20
4.8327,19
5,18.796
6,18.345
7,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
24,19
24.861,18
24.899,17
24.922,16
24.942,15
24.982,14
25,13.782
25.471,14
26,14.362
26.469,15
27,15.833
27.088,16
27.519,17
27.89,18
28,18.425
28.092,19
28.221,20
28.27,21
28.245,22
28.159,23
28.026,24
28,24.15
27.788,25
27.481,26
27.141,27
27,27.379
26.748,28
26.284,29
26,29.559
25.751,30
25.161,31
