x1,y1
6.2152,31
6,30.457
5.8161,30
5.4532,29
5.1348,28
5,27.511
4.8822,27
4.6986,26
4.5617,25
4.4762,24
4.446,23
4.4703,22
4.5493,21
4.7096,20
5,19.294
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
19,19
19.401,18
19.485,17
19.622,16
20,15.083
21,15.272
22,15.725
22.385,16
23,16.535
23.381,17
24,17.965
24.016,18
24.322,19
24.485,20
24.52,21
24.453,22
24.311,23
24.116,24
24,24.464
23.825,25
23.445,26
23.049,27
23,27.102
22.472,28
22,28.793
21.849,29
21.113,30
21,30.125
20.278,31
