x1,y1
29,11.833
28.937,12
28.519,13
28.082,14
28,14.167
27.499,15
27,15.874
26.902,16
26.11,17
26,17.135
25.096,18
25,18.089
24,18.811
23.672,19
23,19.354
22,19.744
21,19.992
20.84,20
20,20.036
19.874,20
19,19
19,18
19,17
19,16
19,15
19,14
19,13
18,13
17,13
16,13
15,13
14.037,12
14.147,11
14.476,10
14.964,9
15,8.9468
15.655,8
16,7.5933
16.526,7
17,6.545
17.593,6
18,5.6769
18.91,5
19,4.9419
20,4.3728
20.74,4
21,3.8777
22,3.475
23,3.1288
23.418,3
24,2.8396
25,2.6312
26,2.4768
27,2.3843
28,2.3977
29,2.8275
29.107,3
29.424,4
29.615,5
29.732,6
29.776,7
29.742,8
29.605,9
29.426,10
29.207,11
29,11.833
