x1,y1
16.179,1
16,1.1098
15,1.6573
14.424,2
14,2.3548
13.289,3
13,3.2795
12.335,4
12,4.3937
11.536,5
11,5.768
10.849,6
10.302,7
10,7.6187
9.8285,8
9.4799,9
9.2141,10
9.0487,11
9.0458,12
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
21.41,14
21.41,15
21.41,16
21.41,17
21.41,18
21,19
20,19
19,19
18,19
17,19
16,19
15.415,20
15.622,21
16,21.722
16.189,22
17,22.794
17.255,23
18,23.403
19,23.771
20,23.943
21,23.928
22,23.776
23,23.519
24,23.179
24.405,23
25,22.71
26,22.149
26.218,22
27,21.426
27.505,21
28,20.551
28.508,20
29,19.428
29.326,19
30,18.082
30.043,18
30.492,17
30.918,16
31,15.807
