x1,y1
9.4192,1
9.206,2
9,2.8885
8.9731,3
8.8136,4
8.7348,5
8.7339,6
8.8145,7
8.9639,8
9,8.1976
9.1358,9
9.4192,10
9.8585,11
10,11.329
10.278,12
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
21,13
21.1,14
21.116,15
21.145,16
21.233,17
22,17.939
23,17.525
23.85,17
24,16.894
24.948,16
25,15.941
25.676,15
26,14.456
26.23,14
26.598,13
26.87,12
27,11.11
27.013,11
27.042,10
27,9.0886
26.995,9
26.852,8
26.627,7
26.348,6
26.025,5
26,4.9339
25.595,4
25.141,3
25,2.7287
24.578,2
24,1.1249
23.925,1
