x1,y1
17.279,31
17,30.73
16.156,30
16,29.825
15.41,29
15,28.419
14.776,28
14.28,27
14,26.455
13.841,26
13.537,25
13.254,24
13.017,23
13,22.868
12.936,22
12.935,21
13,20.356
13.068,20
14,19
15,19
16,19
17,19
18,19
19,19
19,18
19,17
19,16
19.734,15
20,14.921
21,14.987
21.049,15
22,15.277
23,15.703
23.513,16
24,16.305
24.874,17
25,17.106
25.813,18
26,18.212
26.525,19
27,19.728
27.137,20
27.581,21
27.991,22
28,22.027
28.238,23
28.407,24
28.475,25
28.412,26
28.242,27
28,27.92
27.968,28
27.498,29
27.03,30
27,30.061
26.341,31
