x1,y1
31,24.758
30.228,25
30,25.057
29,25.298
28,25.504
27,25.656
26,25.754
25,25.783
24,25.74
23,25.624
22,25.434
21,25.178
20.453,25
20,24.778
19,24.189
18.735,24
18,23.357
17.651,23
17,22.219
16.84,22
16.331,21
16.098,20
17,19
18,19
19,19
19,18
19,17
19,16
19,15
19,14
19,13
18,13
17.104,12
17.517,11
18,10.48
18.628,10
19,9.8309
20,9.5954
21,9.5488
22,9.6234
23,9.7727
24,9.9862
24.046,10
25,10.337
26,10.762
26.463,11
27,11.309
28,11.959
28.053,12
29,12.75
29.284,13
30,13.628
30.311,14
31,14.682
