x1,y1
6.5761,1
6.3238,2
6.0032,3
6,3.0139
5.8642,4
5.785,5
5.7607,6
5.7897,7
5.8693,8
5.996,9
6,9.0208
6.2822,10
6.5961,11
6.9159,12
7,12.174
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
20,13
20.896,14
20.896,15
20.896,16
20.896,17
20.896,18
20,19
20,19
19,19
18,19
17.75,20
18,20.403
18.73,21
19,21.111
20,21.281
21,21.316
22,21.17
22.691,21
23,20.903
24,20.462
24.94,20
25,19.963
26,19.184
26.2,19
27,18.164
27.128,18
27.816,17
28,16.709
28.321,16
28.715,15
29,14.131
29.035,14
29.226,13
29.35,12
29.408,11
29.409,10
29.361,9
29.271,8
29.143,7
29,6.1272
28.976,6
28.738,5
28.47,4
28.177,3
28,2.4934
27.8,2
27.43,1
