x1,y1
31,26.446
30.629,27
30.325,28
30.031,29
30,29.06
29.117,30
29,30.104
28,30.511
27,30.73
26,30.773
25,30.671
24,30.5
23,30.282
22,30.008
21.979,30
21,29.451
20.249,29
20,28.814
19.06,28
19,27.938
18.291,27
18,26.603
17.692,26
17.219,25
17,24.52
16.852,24
16.643,23
16.519,22
16.516,21
16.672,20
17,19.351
18,19
19,19
19,18
19,17
20,16.353
20.525,16
21,15.813
22,15.516
23,15.385
24,15.445
25,15.679
25.857,16
26,16.063
27,16.666
27.445,17
28,17.441
28.572,18
29,18.425
29.426,19
30,19.809
30.104,20
30.622,21
31,21.602
