x1,y1
31,25.492
30.086,26
30,26.053
29,26.406
28,26.659
27,26.869
26.283,27
26,27.043
25,27.152
24,27.202
23,27.19
22,27.116
21.194,27
21,26.965
20,26.707
19,26.378
18.063,26
18,25.969
17,25.392
16.422,25
16,24.653
15.296,24
15,23.643
14.51,23
14,22.08
13.958,22
13.644,21
13.554,20
14,19
15,19
16,19
17,19
18,19
19,19
19,19
19.869,18
19.869,17
19.869,16
19.869,15
19.869,14
19,13
19,13
18,13
17,13
16,13
15,13
14.064,12
14.193,11
14.557,10
15,9.2908
15.201,9
16,8.1918
16.218,8
17,7.4608
17.886,7
18,6.95
19,6.6519
20,6.5029
21,6.4338
22,6.4207
23,6.4942
24,6.6342
25,6.8385
25.587,7
26,7.1204
27,7.4866
28,7.9149
28.163,8
29,8.4456
29.913,9
30,9.0533
31,9.7874
