x1,y1
19.787,31
19,30.601
18,30.007
17.991,30
17,29.255
16.725,29
16,28.219
15.82,28
15.114,27
15,26.803
14.59,26
14.213,25
14,24.176
13.958,24
13.843,23
13.843,22
13.956,21
14,20.814
14.198,20
15,19
16,19
17,19
18,19
19,19
19,19
19.697,18
19.697,17
19.697,16
19.908,15
20,14.869
21,14.822
22,14.941
22.245,15
23,15.217
24,15.64
24.626,16
25,16.247
25.942,17
26,17.053
26.874,18
27,18.155
27.589,19
28,19.68
28.172,20
28.603,21
28.952,22
29,22.188
29.173,23
29.293,24
29.338,25
29.314,26
29.22,27
29.062,28
29,28.279
28.794,29
28.443,30
28.149,31
