x1,y1
11.637,31
11.131,30
11,29.771
10.533,29
10.088,28
10,27.759
9.6751,27
9.3591,26
9.1368,25
9,24.081
8.9843,24
8.8693,23
8.8427,22
8.9029,21
9,20.431
9.0578,20
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
21,19
21.752,18
21.752,17
21.752,16
21.752,15
21.752,14
21,13
21,13
20,13
19,13
18.648,12
19,11.738
20,11.3
21,11.189
22,11.22
23,11.453
24,11.819
24.367,12
25,12.405
25.83,13
26,13.145
26.817,14
27,14.207
27.521,15
28,15.708
28.135,16
28.502,17
28.849,18
29,18.541
29.103,19
29.248,20
29.314,21
29.309,22
29.243,23
29.129,24
29,24.852
28.973,25
28.74,26
28.477,27
28.192,28
28,28.616
27.855,29
27.415,30
27,30.973
26.989,31
