x1,y1
31,23.296
30,23.832
29.63,24
29,24.246
28,24.544
27,24.805
26.097,25
26,25.018
25,25.142
24,25.198
23,25.179
22,25.078
21.58,25
21,24.867
20,24.539
19,24.113
18.795,24
18,23.475
17.405,23
17,22.569
16.534,22
16.005,21
16,20.977
15.811,20
16,19.29
17,19
18,19
19,19
19.184,18
19.184,17
19.184,16
19.184,15
19.184,14
19,13
19,13
18,13
17,13
16.229,12
16.571,11
17,10.48
17.426,10
18,9.5684
18.873,9
19,8.9378
20,8.6227
21,8.3693
21.753,8
22,7.8638
23,7.3695
24,7.2895
25,7.3574
26,7.5193
27,7.748
27.82,8
28,8.0601
29,8.4343
30,8.8784
30.234,9
31,9.3648
