x1,y1
7.7661,31
7.5831,30
7.3998,29
7.2837,28
7.2346,27
7.2473,26
7.3158,25
7.4351,24
7.6156,23
7.8683,22
8,21.597
8.1979,21
8.5981,20
9,19.279
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
23,19
23.224,18
23.233,17
23.248,16
23.294,15
23.395,14
23,13
24,12.839
24.342,13
25,13.439
25.644,14
26,14.335
26.62,15
27,15.455
27.397,16
27.988,17
28,17.026
28.361,18
28.658,19
28.889,20
29,20.723
29.037,21
29.096,22
29.096,23
29.027,24
29,24.185
28.854,25
28.602,26
28.304,27
28,27.887
27.951,28
27.467,29
27,29.948
26.968,30
26.332,31
