x1,y1
31,23.448
30.119,24
30,24.074
29,24.634
28.299,25
28,25.143
27,25.536
26,25.884
25.602,26
25,26.149
24,26.334
23,26.454
22,26.458
21,26.329
20,26.227
19,26.134
18.339,26
18,25.909
17,25.509
16.021,25
16,24.985
15,24.174
14.808,24
14,23.051
13.962,23
13.425,22
13.054,21
13,20.509
12.957,20
13,19.818
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
24.326,18
24.326,17
24.326,16
24.326,15
24.326,14
24,13
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
12,13
11,12.539
10.822,12
10.844,11
11,10.182
11.038,10
11.384,9
11.829,8
12,7.7023
12.437,7
13,6.2256
13.182,6
14,5.1408
14.149,5
15,4.3032
15.407,4
16,3.6344
17,3.1062
17.232,3
18,2.6778
19,2.321
20,2.0219
20.094,2
21,1.8419
22,1.7235
23,1.6576
24,1.642
25,1.6734
26,1.7473
27,1.8604
27.945,2
28,2.0119
29,2.2816
30,2.6084
31,2.9728
