x1,y1
9.7722,1
9.5368,2
9.2635,3
9.0771,4
9,4.7091
8.9717,5
8.9393,6
8.9748,7
9,7.2305
9.0869,8
9.2809,9
9.5527,10
9.9019,11
10,11.22
10.365,12
11,12.954
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
19,14
19,15
19,16
19,17
19.917,18
20,18.024
21,18.015
21.109,18
22,17.845
23,17.499
23.997,17
24,16.998
25,16.09
25.08,16
25.767,15
26,14.61
26.287,14
26.646,13
26.93,12
27,11.612
27.082,11
27.148,10
27.163,9
27.134,8
27.063,7
27,6.4771
26.927,6
26.72,5
26.48,4
26.219,3
26,2.3123
25.881,2
25.499,1
