x1,y1
1.5704,31
1.4486,30
1.3073,29
1.2114,28
1.1669,27
1.1669,26
1.2112,25
1.3019,24
1.4396,23
1.6258,22
1.8556,21
2,20.498
2.1416,20
2.506,19
3,18.163
3.1643,18
4,17.448
5,17.176
6,17.329
6.385,18
7,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
24,19
24.956,18
24.974,17
24.985,16
24.999,15
25,14.94
25.047,15
25.811,16
26,16.295
26.276,17
26.638,18
26.883,19
27,19.85
27.016,20
27.029,21
27,21.263
26.928,22
26.749,23
26.497,24
26.185,25
26,25.581
25.875,26
25.389,27
25,27.581
24.875,28
24.43,29
24,29.642
23.844,30
23.318,31
