x1,y1
3.0382,31
3,30.726
2.9124,30
2.7749,29
2.6765,28
2.6296,27
2.6276,26
2.6693,25
2.7554,24
2.8851,23
3,22.346
3.0673,22
3.3147,21
3.6116,20
4,19.205
4.1709,19
5,18.644
6,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
23,19
23.784,18
23.843,17
23.901,16
23.976,15
24,14.833
24.194,15
25,15.812
25.112,16
25.632,17
26,17.762
26.068,18
26.28,19
26.411,20
26.459,21
26.421,22
26.311,23
26.145,24
26,24.688
25.915,25
25.579,26
25.208,27
25,27.51
24.772,28
24.243,29
24,29.424
23.639,30
23,30.86
22.922,31
