x1,y1
23.346,1
23,1.142
22,1.6924
21.529,2
21,2.4077
20.308,3
20,3.3034
19.357,4
19,4.4456
18.589,5
18,5.9307
17.959,6
17.473,7
17.085,8
17,8.3174
16.839,9
16.724,10
16.731,11
16.882,12
17,12.258
18,13
19,13
19,14
19.646,15
20,15.168
21,15.403
22,15.442
23,15.286
23.878,15
24,14.953
25,14.369
25.478,14
26,13.574
26.523,13
27,12.47
27.315,12
27.984,11
28,10.974
28.45,10
28.861,9
29,8.532
29.111,8
29.258,7
29.141,6
29,5.4441
28.835,5
28.399,4
28,3.1897
27.869,3
27.095,2
27,1.8888
26,1.1644
25.606,1
