x1,y1
31,24.345
30,24.815
29.591,25
29,25.236
28,25.56
27,25.832
26.235,26
26,26.046
25,26.176
24,26.241
23,26.239
22,26.167
21,26.022
20.895,26
20,25.746
19,25.384
18.122,25
18,24.928
17,24.232
16.705,24
16,23.294
15.737,23
15.042,22
15,21.907
14.658,21
14.52,20
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
23.124,18
23.124,17
23.124,16
23.124,15
23.124,14
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,12.882
13.713,12
13.836,11
14,10.56
14.213,10
14.806,9
15,8.7572
15.671,8
16,7.7147
16.994,7
17,6.9964
18,6.5339
19,6.2623
20,6.2761
21,6.2535
21.43,6
22,5.6414
22.755,5
23,4.6674
24,4.551
25,4.6017
26,4.7268
27,4.9057
27.4,5
28,5.159
29,5.4723
30,5.8387
30.362,6
31,6.2813
