x1,y1
31,23.104
30,23.655
29.3,24
29,24.131
28,24.474
27,24.764
26,24.994
25.964,25
25,25.127
24,25.189
23,25.179
22,25.09
21.482,25
21,24.893
20,24.559
19,24.122
18.791,24
18,23.447
17.465,23
17,22.493
16.608,22
16.061,21
16,20.731
15.852,20
16,19.359
17,19
18,19
19,19
20,19
20,19
20.553,18
20.553,17
20.553,16
20.553,15
20.553,14
20,13
20,13
19,13
18,13
17,12.313
16.958,12
17,11.899
17.362,11
18,10.286
18.266,10
19,9.5707
20,9.2911
21,9.2534
21.43,9
22,8.6414
22.503,8
22.75,7
23,6.2234
24,6.024
25,6.0487
26,6.1774
27,6.3775
28,6.6309
29,6.9415
29.144,7
30,7.379
31,7.7914
