x1,y1
15.13,1
15,1.114
14,1.9044
13.895,2
13.01,3
13,3.0123
12.306,4
12,4.4679
11.705,5
11.223,6
11,6.5315
10.834,7
10.563,8
10.362,9
10.233,10
10.185,11
10.256,12
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
22.095,14
22.095,15
22.095,16
22.096,17
22.1,18
22,19
21,19
20,19
19,19
18,19
17.652,20
18,20.697
18.204,21
19,21.402
20,21.813
20.622,22
21,22.047
22,22.083
22.826,22
23,21.979
24,21.72
25,21.359
25.788,21
26,20.888
27,20.266
27.361,20
28,19.483
28.505,19
29,18.459
29.42,18
30,17.295
30.218,17
30.855,16
31,15.766
