x1,y1
31,8.6419
30.896,9
30.665,10
30.452,11
30.216,12
30,12.781
29.84,13
29.094,14
29,14.124
28.01,15
28,15.009
27,15.639
26.264,16
26,16.12
25,16.419
24,16.582
23,16.613
22,16.512
21,16.278
20.255,16
20,15.887
19,15
19,14
19,13
18,13
17,12.874
16.511,12
16.22,11
16.08,10
16.089,9
16.245,8
16.577,7
17,6.2645
17.173,6
18,5.1492
18.189,5
19,4.5344
20,4.0464
20.107,4
21,3.7126
22,3.0824
22.129,3
23,2.5061
24,2.2835
25,2.1482
26,2.0778
27,2.0699
28,2.1263
29,2.2545
30,2.5389
30.312,3
30.769,4
31,4.5281
