x1,y1
19.008,31
19,30.997
18,30.586
17,30.097
16.832,30
16,29.361
15.555,29
15,28.486
14.492,28
14,27.455
13.625,27
13,26.099
12.937,26
12.424,25
12,24.006
11.998,24
11.688,23
11.45,22
11.306,21
11.309,20
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
24,19
24.842,18
24.842,17
24.842,16
24.842,15
24.842,14
24,13
24,13
23,13
22.75,12
22.551,11
22.026,10
22.451,9
23,8.6999
24,8.6306
25,8.7819
25.776,9
26,9.0639
27,9.4056
28,9.7927
28.462,10
29,10.25
30,10.749
30.402,11
31,11.326
