x1,y1
13.706,1
13,1.6028
12.534,2
12,2.5672
11.624,3
11,3.7809
10.837,4
10.192,5
10,5.3253
9.6296,6
9.1591,7
9,7.3869
8.7568,8
8.4464,9
8.2178,10
8.0791,11
8.08,12
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
22.267,14
22.267,15
22.267,16
22.267,17
22.267,18
22,19
21,19
20,19
19,19
18,19
17,19
16,19
15,19.044
14.781,20
14.914,21
15,21.212
15.459,22
16,22.706
16.284,23
17,23.51
17.818,24
18,24.074
19,24.314
20,24.418
21,24.404
22,24.288
23,24.079
23.256,24
24,23.727
25,23.292
25.584,23
26,22.757
27,22.115
27.152,22
28,21.29
28.294,21
29,20.238
29.202,20
30,19.014
30.008,19
30.465,18
30.904,17
31,16.772
