x1,y1
31,24.084
30,24.556
29,24.994
28.984,25
28,25.33
27,25.598
26,25.804
25,25.943
24,25.986
23,25.84
22.75,25
22.503,24
22,23.359
21.43,23
21,22.757
20,22.63
19,22.002
18.998,22
18.22,21
18,20.299
17.881,20
18,19.468
19,19
20,19
21,19
22,19
23,19
24,19
24,19
24.842,18
24.842,17
24.842,16
24.842,15
24.842,14
24,13
24,13
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,12.118
12.965,12
13,11.408
13.027,11
13.29,10
13.685,9
14,8.4091
14.244,8
14.972,7
15,6.9681
15.944,6
16,5.9505
17,5.1768
17.261,5
18,4.5859
19,4.1009
19.248,4
20,3.7864
21,3.579
22,3.4459
23,3.3818
24,3.3827
25,3.4425
26,3.5539
27,3.7156
28,3.9319
28.257,4
29,4.2177
30,4.55
31,4.9102
