x1,y1
31,21.102
30,21.7
29.45,22
29,22.222
28,22.611
27,22.938
26.748,23
26,23.165
25,23.305
24,23.343
23,23.158
22.898,23
22.75,22
22.503,21
22,20.359
21.43,20
21,19.594
20,19
20.725,18
20.725,17
20.725,16
20.725,15
20.725,14
20,13
20,13
19,13
18,13
17,13
16,13
15,12.387
14.882,12
14.925,11
15,10.653
15.163,10
15.57,9
16,8.2136
16.14,8
16.926,7
17,6.9213
18,6.0089
18.012,6
19,5.3823
19.771,5
20,4.9085
21,4.6269
22,4.4475
23,4.3519
24,4.3276
25,4.3734
26,4.4893
27,4.6683
28,4.9034
28.332,5
29,5.2258
30,5.625
30.84,6
31,6.0719
