x1,y1
18.67,31
18,30.624
17.015,30
17,29.989
16,29.182
15.808,29
15,28.106
14.914,28
14.203,27
14,26.669
13.636,26
13.208,25
13,24.37
12.892,24
12.709,23
12.63,22
12.647,21
12.772,20
13,19.43
14,19
15,19
16,19
17,19
18,19
19,19
20,19
20.211,18
20.211,17
20.219,16
20.268,15
20.397,14
21,13.17
22,13.274
23,13.515
24,13.88
24.241,14
25,14.445
25.789,15
26,15.172
26.864,16
27,16.146
27.643,17
28,17.511
28.278,18
28.758,19
29,19.558
29.18,20
29.484,21
29.708,22
29.85,23
29.9,24
29.88,25
29.807,26
29.679,27
29.501,28
29.275,29
29,29.93
28.975,30
28.626,31
