x1,y1
10.955,31
10.071,30
10,29.907
9.4197,29
9,28.337
8.819,28
8.3422,27
8,26.237
7.9083,26
7.5947,25
7.3379,24
7.1364,23
7,22.045
6.9942,22
6.9359,21
6.9888,20
7,19.968
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
24.498,18
24.498,17
24.498,16
24.498,15
24.498,14
24,13
24,13
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14.023,12
14.16,11
14.58,10
15,9.2531
15.181,9
16,8.1895
16.208,8
17,7.5594
18,7.0311
18.071,7
19,6.7653
20,6.582
21,6.5002
22,6.5304
23,6.6536
24,6.8562
24.528,7
25,7.168
26,7.5836
26.981,8
27,8.0107
28,8.6509
28.498,9
29,9.4062
29.7,10
30,10.284
30.581,11
31,11.524
