x1,y1
31,23.564
30.257,24
30,24.161
29,24.684
28.367,25
28,25.172
27,25.556
26,25.898
25.65,26
25,26.169
24,26.365
23,26.506
22,26.588
21,26.604
20,26.57
19,26.448
18,26.224
17.405,26
17,25.819
16,25.258
15.623,25
15,24.473
14.492,24
14,23.389
13.716,23
13.176,22
13,21.477
12.855,21
12.772,20
13,19.194
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
22,19
22.781,18
22.781,17
22.781,16
22.781,15
22.781,14
22,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13,13
12.203,12
12.244,11
12.481,10
12.861,9
13,8.7471
13.435,8
14,7.2308
14.188,7
15,6.2339
15.268,6
16,5.4878
16.763,5
17,4.8698
18,4.4207
19,4.0272
19.084,4
20,3.759
21,3.5578
22,3.4175
23,3.3386
24,3.3216
25,3.3643
26,3.4632
27,3.6174
28,3.824
28.707,4
29,4.0859
30,4.4553
31,4.8534
