x1,y1
31,29.055
30,29.24
29,29.505
28,29.751
27,29.976
26.865,30
26,30.079
25,30.138
24,30.164
23,30.151
22,30.095
21.067,30
21,29.986
20,29.68
19,29.318
18.253,29
18,28.834
17,28.056
16.94,28
16,27.02
15.984,27
15.355,26
15,25.366
14.842,25
14.517,24
14.275,23
14.139,22
14.124,21
14.25,20
15,19
16,19
17,19
18,19
19,19
20,19
20.041,18
20.042,17
20.045,16
20.052,15
20.087,14
21,13.309
21.805,13
22,12.914
23,12.741
24,12.778
25,12.94
25.222,13
26,13.236
27,13.625
27.779,14
28,14.122
29,14.747
29.316,15
30,15.601
30.429,16
31,16.576
