x1,y1
23.801,31
23,30.808
22,30.515
21,30.161
20.62,30
20,29.75
19,29.278
18.535,29
18,28.622
17.237,28
17,27.778
16.279,27
16,26.653
15.537,26
15,25.087
14.953,25
14.553,24
14.285,23
14.145,22
14.129,21
14.241,20
15,19
16,19
17,19
18,19
19,19
19,18
19,17
19,16
19,15
20,14.244
21,14.204
22,14.291
23,14.541
24,14.939
24.11,15
25,15.549
25.606,16
26,16.332
26.654,17
27,17.394
27.428,18
28,18.913
28.051,19
28.531,20
28.941,21
29,21.183
29.214,22
29.38,23
29.467,24
29.482,25
29.435,26
29.327,27
29.159,28
29,28.682
28.903,29
28.514,30
28.005,31
