x1,y1
4.2541,1
4.0598,2
4,2.2871
3.8748,3
3.7489,4
3.6758,5
3.6519,6
3.6786,7
3.7575,8
3.889,9
4,9.5906
4.085,10
4.3506,11
4.6624,12
5,12.697
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
21,13
21.752,14
21.815,15
21.878,16
21.953,17
22,17.391
23,17.149
23.207,17
24,16.311
24.255,16
24.96,15
25,14.926
25.353,14
25.624,13
25.781,12
25.818,11
25.762,10
25.627,9
25.426,8
25.171,7
25,6.4347
24.854,6
24.453,5
24.011,4
24,3.9797
23.447,3
23,2.2506
22.839,2
22.109,1
