x1,y1
28,29.552
27.716,30
27,30.825
26,30.873
25,30.727
24,30.47
23,30.094
22.805,30
22,29.716
21,29.3
20.413,29
20,28.795
19,28.215
18.696,28
18,27.501
17.401,27
17,26.633
16.345,26
16,25.622
15.44,25
15,24.406
14.693,24
14.116,23
14,22.728
13.662,22
13.382,21
13.299,20
14,19
15,19
16,19
17,19
18,19
19,19
19,18
19,17
19,16
19,15
19,14
19,13
20,12.387
21,12.448
22,12.698
22.735,13
23,13.121
24,13.745
24.318,14
25,14.585
25.385,15
26,15.71
26.2,16
26.835,17
27,17.278
27.323,18
27.738,19
28,19.686
28.095,20
28.35,21
28.559,22
28.71,23
28.791,24
28.799,25
28.746,26
28.624,27
28.441,28
28.191,29
28,29.552
