x1,y1
1,29.331
2,29.553
3,29.734
4,29.797
5,29.817
6,29.748
7,29.341
7.5761,29
8,28.905
9,28.752
10,28.786
11,28.994
11.034,29
12,29.204
13,29.297
14,29.302
15,29.237
16,29.105
16.452,29
17,28.864
18,28.55
19,28.177
19.358,28
20,27.662
21,27.044
21.058,27
22,26.274
22.292,26
23,25.309
23.259,25
24,24.066
24.041,24
24.586,23
25,22.16
25.055,22
25.271,21
25.318,20
25.163,19
25.014,18
25,17.965
24.73,17
24.509,16
24,15.267
23.986,16
23.982,17
23.982,18
23,19
23,19
22,19
21,19
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19
6,19
6,19
5.9777,18
5.9679,17
5.5885,16
5,15.505
4,15.126
3,15.029
2,15.192
1,15.591
