x1,y1
1,24.897
1.2216,25
2,25.564
3,25.835
4,25.924
5,25.849
6,25.566
6.8205,25
7,24.912
7.942,25
8,25.032
9,25.704
9.5375,26
10,26.685
10.379,27
11,27.429
12,27.742
13,27.836
14,27.758
15,27.705
16,27.62
17,27.391
18,27.03
18.06,27
19,26.555
19.926,26
20,25.953
21,25.2
21.212,25
22,24.225
22.181,24
22.924,23
23,22.883
23.419,22
23.77,21
23.896,20
23.606,19
23.775,18
23.114,17
23,16.843
22.998,17
22.972,18
22,19
22,19
21,19
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19
6,19
5,19
5,19
4.9184,18
4.8067,17
4,16.075
3.7086,16
3,15.719
2,15.75
1,15.857
