x1,y1
31,24.644
30.36,25
30,25.209
29,25.673
28.197,26
28,26.066
27,26.344
26,26.58
25,26.765
24,26.871
23,26.839
22,26.56
21,26.181
20.324,26
20,25.87
19,25.459
18,25.04
17.926,25
17,24.385
16.515,24
16,23.492
15.618,23
15,22.046
14.975,22
14.633,21
14.497,20
15,19
16,19
17,19
18,19
19,19
19,18
19,17
19,16
19,15
19,14
19,13
18,13
17.472,12
17.956,11
18,10.959
19,10.155
19.26,10
20,9.7095
21,9.428
22,9.2312
23,9.1212
24,9.1002
25,9.1773
26,9.3564
27,9.6103
28,9.9131
28.233,10
29,10.324
30,10.824
30.243,11
31,11.491
