x1,y1
1.5073,31
1.3799,30
1.2151,29
1.0916,28
1.0229,27
1,26
1.0236,25
1.0942,24
1.2157,23
1.3838,22
1.6,21
1.8796,20
2,19.712
2.301,19
2.9745,18
3,17.973
4,17.558
5,17.567
5.4074,18
6,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
23,19
23.967,18
23.992,17
24,16.368
24.372,17
24.881,18
25,18.909
25.02,19
25.172,20
25.123,21
25,21.56
24.869,22
24.427,23
24,23.777
23.871,24
23.176,25
23,25.223
22.439,26
22,26.512
21.666,27
21,27.796
20.871,28
20.058,29
20,29.077
19.388,30
19,30.504
18.756,31
