x1,y1
5.5102,31
5.3702,30
5.1753,29
5,28.02
4.9966,28
4.9208,27
4.9565,26
5,25.542
5.0526,25
5.1552,24
5.2617,23
5.42,22
5.704,21
6,20.212
6.0799,20
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
24,19
24.842,18
24.842,17
24.87,16
24.905,15
24.944,14
25,13.374
26,13.893
26.122,14
27,14.845
27.126,15
27.839,16
28,16.263
28.271,17
28.575,18
28.79,19
28.927,20
28.989,21
28.962,22
28.859,23
28.704,24
28.499,25
28.255,26
28,26.928
27.976,27
27.565,28
27.133,29
27,29.27
26.612,30
26.029,31
