x1,y1
31,27.217
30,27.524
29,27.9
28.687,28
28,28.169
27,28.371
26,28.532
25,28.642
24,28.691
23,28.656
22,28.509
21,28.215
20.518,28
20,27.68
19.172,27
19,26.812
18.482,26
18.044,25
18,24.805
17.872,24
17.888,23
18,22.482
18.121,22
18.615,21
19,20.527
19.479,20
20,19.662
21,19.291
21.43,19
22,18.641
22.503,18
22.75,17
22.503,16
22,15.331
21.558,15
21,14.022
20.987,14
21,13.761
21.069,13
21.857,12
22,11.896
23,11.577
24,11.504
25,11.566
26,11.719
27,11.95
27.149,12
28,12.329
29,12.792
29.34,13
30,13.451
30.658,14
31,14.264
