x1,y1
13.898,31
13,30.061
12.947,30
12.224,29
12,28.665
11.609,28
11.089,27
11,26.795
10.701,26
10.409,25
10.195,24
10.061,23
10.004,22
10.027,21
10.154,20
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
22.438,18
22.438,17
22.438,16
22.438,15
22.462,14
22,13
22,13
21,13
20,13
19.668,12
20,11.8
21,11.423
22,11.374
23,11.29
24,11.539
25,11.937
25.119,12
26,12.557
26.615,13
27,13.326
27.713,14
28,14.31
28.49,15
29,15.772
29.136,16
29.656,17
30,17.7
30.122,18
30.429,19
30.666,20
30.844,21
30.955,22
31,22.954
