x1,y1
2.6566,31
2.3356,30
2,29.072
1.9821,29
1.772,28
1.6105,27
1.5035,26
1.471,25
1.5081,24
1.6084,23
1.7696,22
1.9857,21
2,20.948
2.328,20
2.8507,19
3,18.808
3.8146,18
4,17.868
5,17.697
5.3484,18
6,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
23,19
23.964,18
24,17.079
24.603,18
24.132,19
24.357,20
24.307,21
24.065,22
24,22.156
23.307,23
23,23.315
22.137,24
22,24.06
21,24.365
20.246,25
20,25.077
19.193,26
19,26.142
18.354,27
18.053,28
18.041,29
18.033,30
18,30.866
17,30.439
16.516,31
