x1,y1
30,27.555
29.68,28
29.11,29
29,29.165
28.019,30
28,30.013
27,30.219
26,30.218
25,30.114
24.316,30
24,29.914
23,29.57
22,29.191
21.606,29
21,28.638
20.069,28
20,27.941
19.126,27
19,26.851
18.486,26
18,25.184
17.924,25
17.605,24
17.336,23
17.172,22
17.176,21
17.375,20
18,19
19,19
19,18
20,17.038
20.048,17
21,16.605
22,16.265
23,16.151
24,16.287
25,16.596
25.895,17
26,17.053
27,17.747
27.281,18
28,18.686
28.259,19
29,19.918
29.051,20
29.627,21
30,21.608
30.173,22
30.525,23
30.729,24
30.688,25
30.447,26
30.154,27
30,27.555
