x1,y1
10.178,1
10,1.5396
9.9246,2
9.6966,3
9.5149,4
9.3779,5
9.2971,6
9.2927,7
9.3712,8
9.5219,9
9.7354,10
10,10.985
10.004,11
10.362,12
11,12.973
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
20,13
20.211,14
20.211,15
20.231,16
20.269,17
20.334,18
20,19
21,19.53
22,19.43
23,19.213
23.631,19
24,18.835
25,18.257
25.343,18
26,17.419
26.379,17
27,16.233
27.159,16
27.713,15
28,14.438
28.197,14
28.536,13
28.801,12
28.994,11
29,10.939
29.078,10
29.098,9
29.068,8
29,7.1004
28.991,7
28.847,6
28.655,5
28.426,4
28.172,3
28,2.4401
27.843,2
27.502,1
