x1,y1
31,22.238
30,22.805
29.617,23
29,23.277
28,23.652
27,23.957
26.808,24
26,24.154
25,24.284
24,24.349
23,24.345
22,24.256
21,24.062
20.769,24
20,23.706
19,23.218
18.637,23
18,22.415
17.591,22
17,21.04
16.978,21
16.791,20
17,19.144
18,19
19,19
20,19
21,19
22,19
23,19
23,19
23.81,18
23.81,17
23.81,16
23.81,15
23.81,14
23,13
23,13
22,13
21,13
20,13
19,13
18,13
17,13
16,13
15,13
14,13
13.169,12
13.272,11
13.578,10
14,9.0742
14.037,9
14.704,8
15,7.653
15.595,7
16,6.6548
16.897,6
17,5.9418
18,5.4899
19,5.1821
20,5.2636
21,5.2447
21.43,5
22,4.6414
22.503,4
22.85,3
23,2.6763
24,2.5188
25,2.5334
26,2.6243
27,2.7729
28,2.9741
28.099,3
29,3.2574
30,3.5914
31,3.921
