x1,y1
17.084,1
17,1.0508
16,1.6236
15.422,2
15,2.3628
14.323,3
14,3.3493
13.45,4
13,4.6381
12.754,5
12.151,6
12,6.3024
11.672,7
11.313,8
11.049,9
11,9.2628
10.869,10
10.779,11
10.815,12
11,12.521
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
25,13
25,14
25,15
25,16
25,17
25,18
25,19
24,19
23,19
22,19
21,19
20.899,20
21,20.1
21.74,21
22,21.163
22.712,22
23,23
23,23.001
24,23.112
24.77,23
25,22.967
26,22.677
27,22.327
27.778,22
28,21.905
29,21.375
29.608,21
30,20.751
31,20.029
